"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","","Geschlecht","Alter","Netto-Haushaltseinkommen (insgesamt)","Höchster Bildungsabschluss und berufliche Qualifikation","Deine Postleitzahl","Dein Bundesland",""," [Die Nutzung eines Nachhaltigkeits-Dashboards wäre für mich nützlich.]"," [Ich stelle mir die Nutzung des Dashboards in meiner Umgebung angenehm vor.]"," [Die Nutzung des Dashboards wird meine Lebensqualität verbessern.]"," [Die Nutzung des Nachhaltigkeits-Dashboards wird kompliziert für mich sein. ]"," [Um sicherzustellen, dass Du die Fragen aufmerksam liest, wähle bitte bei der folgenden Aussage ""Stimme eher zu"" aus.]",""," [Mein Umfeld erwartet von mir, dass ich Technologien wie das digitale Nachhaltigkeits-Dashboard nutze.]"," [Es ist mir wichtig, den Erwartungen in meinem Umfeld bei der Nutzung von neuen Technologien wie dem Nachhaltigkeits-Dashboard gerecht zu werden.]"," [Es wird allgemein erwartet, dass ich moderne Lösungen wie das Nachhaltigkeits-Dashboard nutze.]"," [Ein einfacher Zugang zu Informationen über die Funktion und Inhalte des Dashboards erleichtern mir die Nutzung.]"," [Ein Mangel an Zeit könnte mich davon abhalten, das Nachhaltigkeits-Dashboard zu nutzen.]"," [Ich habe die erforderlichen Kenntnisse, um das Nachhaltigkeits-Dashboard in meiner Umgebung zu nutzen.]"," [Ich bin sicher, dass ich das Nachhaltigkeits-Dashboard problemlos nutzen kann.]"," [Es ist einfach für mich, Anwendungen wie das Nachhaltigkeits-Dashboard zu verstehen und zu nutzen.]"," [Ich beabsichtige, das Dashboard über Nachhaltigkeitsinformationen in naher Zukunft zu nutzen, wenn sich hierzu die Gelegenheit bietet.]"
"79","1980-01-01 00:00:00","6","de","1561701566","683dc7a5-6e1c-18c7-f03e-24518bebfd6f","Männlich","66+","3000 - unter 4000 Euro","Abgeschlossene Berufsausbildung","18109","Mecklenburg-Vorpommern","1","Stimme ich eher nicht zu","Teils / Teils","Keine Verbesserung","Kaum kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Überhaupt nicht wichtig","Trifft kaum zu","Trifft weitgehend zu","Trifft überhaupt nicht zu","Gute Kenntnisse","Trifft vollkommen zu.","Stimme ich zu","Nicht beabsichtigt"
"80","1980-01-01 00:00:00","6","de","796577541","683dc939-4e03-b033-21f6-460c0e08127b","Männlich","66+","5000 Euro und mehr","Abgeschlossene Berufsausbildung","17493","Mecklenburg-Vorpommern","1","Teils / Teils","Stimme ich eher zu","Mäßige Verbesserung","Kaum kompliziert","Stimme eher zu","0","Trifft teileweise zu","Mäßig wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft überwiegend zu","Grundlegende Kenntnisse","Trift teilweise zu.","Teils / Teils","Möglicherweise beabsichtigt"
"81","1980-01-01 00:00:00","6","de","918694280","683dca7a-25b5-cef7-a6d8-058a873c776d","Männlich","66+","4000 - unter 5000 Euro","Master-Abschluss","19055","Mecklenburg-Vorpommern","1","Stimme ich vollumfänglich zu","Stimme ich vollumfänglich zu","Sehr große Verbesserung","Überhaupt nicht kompliziert","Stimme eher zu","0","Trifft vollkommen zu","Extrem wichtig","Trifft vollständig zu","Trifft vollständig zu","Trifft überhaupt nicht zu","Ausgezeichnete Kenntnisse","Trifft vollkommen zu.","Stimme ich vollumfänglich zu","Definitiv beabsichtigt"
"82","1980-01-01 00:00:00","6","de","140301866","683dcdd3-feb8-f83c-9899-708ddd34f033","Weiblich","56-65","3000 - unter 4000 Euro","Mittlere Reife","19370","Mecklenburg-Vorpommern","1","Stimme ich überhaupt nicht zu","Stimme ich nicht zu","Sehr geringe Verbesserung","Kaum kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Kaum wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft vollkommen zu","Ausgezeichnete Kenntnisse","Trifft vollkommen zu.","Stimme ich vollumfänglich zu","Überhaupt nicht beabsichtigt"
"84","1980-01-01 00:00:00","6","de","616625962","683dce4b-189b-ae9a-04a0-a05db8b01a24","Weiblich","46-55","5000 Euro und mehr","Abgeschlossene Berufsausbildung","19075","Mecklenburg-Vorpommern","1","Teils / Teils","Teils / Teils","Mäßige Verbesserung","Ein wenig kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Wenig wichtig","Trifft kaum zu","Trifft teilweise zu","Trifft teilweise zu","Sehr geringe Kenntnisse","Trift teilweise zu.","Teils / Teils","Möglicherweise beabsichtigt"
"85","1980-01-01 00:00:00","6","de","726030980","683dd4d2-37f4-7377-37c2-3f631f186686","Männlich","66+","2000 - unter 3000 Euro","Bachelor-Abschluss","19073","Mecklenburg-Vorpommern","1","Stimme ich eher nicht zu","Teils / Teils","Keine Verbesserung","Kaum kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Kaum wichtig","Trifft eher nicht zu","Trifft teilweise zu","Trifft kaum zu","Grundlegende Kenntnisse","Trifft mehrheitlich zu.","Stimme ich eher zu","Möglicherweise beabsichtigt"
"86","1980-01-01 00:00:00","6","de","2015824622","683dd75f-961e-d23a-d6e1-c87f9c6b267f","Weiblich","18-35","Unter 1000 Euro","Mittlere Reife","18528","Mecklenburg-Vorpommern","1","Stimme ich eher zu","Stimme ich eher zu","Große Verbesserung","Kaum kompliziert","Stimme eher zu","0","Trifft teileweise zu","Eher wichtig","Trifft überwiegend zu","Trifft überwiegend zu","Trifft überwiegend zu","Geringe Kenntnisse","Trifft mehrheitlich zu.","Teils / Teils","Möglicherweise beabsichtigt"
"89","1980-01-01 00:00:00","6","de","1342659835","683de214-8a53-41e1-21e4-cb9a591753b6","Männlich","36-45","2000 - unter 3000 Euro","Abgeschlossene Berufsausbildung","18356","Mecklenburg-Vorpommern","1","Teils / Teils","Teils / Teils","Mäßige Verbesserung","Sehr kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Mäßig wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft eher nicht zu","Geringe Kenntnisse","Trifft mehrheitlich zu.","Stimme ich eher nicht zu","Möglicherweise beabsichtigt"
"90","1980-01-01 00:00:00","6","de","723063539","683de633-317f-deff-fa5c-729eb43cbdaa","Weiblich","46-55","3000 - unter 4000 Euro","Abgeschlossene Berufsausbildung","18435","Mecklenburg-Vorpommern","1","Teils / Teils","Teils / Teils","Geringe Verbesserung","Eher kompliziert","Stimme eher zu","0","Trifft teileweise zu","Mäßig wichtig","Trifft teilweise zu","Trifft überwiegend zu","Trifft überwiegend zu","Sehr geringe Kenntnisse","Trift teilweise zu.","Teils / Teils","Möglicherweise beabsichtigt"
"91","1980-01-01 00:00:00","6","de","1720915870","683de8fc-2e42-8d42-c211-b004bd80eb13","Weiblich","66+","2000 - unter 3000 Euro","Abgeschlossene Berufsausbildung","17389","Mecklenburg-Vorpommern","1","Stimme ich nicht zu","Stimme ich nicht zu","Sehr geringe Verbesserung","Eher kompliziert","Stimme eher zu","0","Trifft teileweise zu","Kaum wichtig","Trifft eher nicht zu","Trifft überwiegend zu","Trifft eher nicht zu","Grundlegende Kenntnisse","Trifft überwiegend zu.","Stimme ich zu","Möglicherweise beabsichtigt"
"92","1980-01-01 00:00:00","6","de","1305297265","683debe5-3715-bf7f-1942-593611d71e73","Weiblich","56-65","3000 - unter 4000 Euro","Abgeschlossene Berufsausbildung","18055","Mecklenburg-Vorpommern","1","Stimme ich nicht zu","Stimme ich nicht zu","Keine Verbesserung","Kaum kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft überwiegend zu","Trifft vollkommen zu","Grundlegende Kenntnisse","Trift teilweise zu.","Teils / Teils","Überhaupt nicht beabsichtigt"
"93","1980-01-01 00:00:00","6","de","1055912848","683ded6f-c18a-1bf7-bf53-16c58c161705","Männlich","18-35","1000 - unter 2000 Euro","Mittlere Reife","18055","Mecklenburg-Vorpommern","1","Teils / Teils","Teils / Teils","Mäßige Verbesserung","Ein wenig kompliziert","Stimme eher zu","0","Trifft teileweise zu","Eher wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Grundlegende Kenntnisse","Trifft mehrheitlich zu.","Teils / Teils","Möglicherweise beabsichtigt"
"95","1980-01-01 00:00:00","6","de","886833962","683dff25-a9bd-a104-d7d8-8f2567a96fa8","Männlich","56-65","5000 Euro und mehr","Master-Abschluss","19412","Mecklenburg-Vorpommern","1","Teils / Teils","Teils / Teils","Geringe Verbesserung","Kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Kaum wichtig","Trifft eher nicht zu","Trifft eher nicht zu","Trifft überwiegend zu","Sehr geringe Kenntnisse","Trifft eher nicht zu.","Stimme ich nicht zu","Eher nicht beabsichtigt."
"97","1980-01-01 00:00:00","6","de","1390781708","683e1af8-1050-1ce5-a3b7-76777fb2a7f2","Männlich","36-45","2000 - unter 3000 Euro","Mittlere Reife","19258","Mecklenburg-Vorpommern","1","Teils / Teils","Teils / Teils","Mäßige Verbesserung","Eher kompliziert","Stimme eher zu","0","Trifft teileweise zu","Mäßig wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft überhaupt nicht zu","Grundlegende Kenntnisse","Trifft mehrheitlich zu.","Teils / Teils","Eher nicht beabsichtigt."
"98","1980-01-01 00:00:00","6","de","1934177355","683e1e88-e2f0-04c1-102f-c998dcaf5eaa","Weiblich","56-65","1000 - unter 2000 Euro","Abgeschlossene Berufsausbildung","18107","Mecklenburg-Vorpommern","1","Stimme ich eher nicht zu","Teils / Teils","Mäßige Verbesserung","Kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft eher nicht zu","Trifft teilweise zu","Trifft teilweise zu","Sehr geringe Kenntnisse","Trift teilweise zu.","Teils / Teils","Eher nicht beabsichtigt."
"99","1980-01-01 00:00:00","6","de","324057809","683e2448-70f6-a9db-ad53-dbd66b425cc8","Männlich","18-35","5000 Euro und mehr","Bachelor-Abschluss","18442","Mecklenburg-Vorpommern","1","Stimme ich zu","Stimme ich zu","Deutliche Verbesserung","Überhaupt nicht kompliziert","Stimme eher zu","0","Trifft vollkommen zu","Eher wichtig","Trifft weitgehend zu","Trifft vollständig zu","Trifft vollkommen zu","Ausgezeichnete Kenntnisse","Trifft vollkommen zu.","Stimme ich vollumfänglich zu","Eher beabsichtigt"
"101","1980-01-01 00:00:00","6","de","1749739308","683e3e0a-d325-718e-b73f-af8486e6cf04","Weiblich","18-35","Unter 1000 Euro","Mittlere Reife","19370","Mecklenburg-Vorpommern","1","Teils / Teils","Stimme ich eher nicht zu","Deutliche Verbesserung","Sehr kompliziert","Stimme eher zu","0","Trifft überwiegend zu","Kaum wichtig","Trifft kaum zu","Trifft überhaupt nicht zu","Trifft eher nicht zu","Geringe Kenntnisse","Trifft mehrheitlich zu.","Stimme ich zu","Beabsichtigt"
"102","1980-01-01 00:00:00","6","de","1440633487","683e5293-369d-f815-56ca-70e37542ecf1","Männlich","36-45","4000 - unter 5000 Euro","Abgeschlossene Berufsausbildung","17159","Mecklenburg-Vorpommern","1","Stimme ich eher zu","Stimme ich eher zu","Deutliche Verbesserung","Ein wenig kompliziert","Stimme eher zu","0","Trifft kaum zu","Mäßig wichtig","Trifft überwiegend zu","Trifft überwiegend zu","Trifft überwiegend zu","Grundlegende Kenntnisse","Trift teilweise zu.","Teils / Teils","Eher beabsichtigt"
"106","1980-01-01 00:00:00","6","de","508410041","683e86cf-b0f6-8bec-260b-3e5b41e8187e","Männlich","36-45","4000 - unter 5000 Euro","Abgeschlossene Berufsausbildung","18209","Mecklenburg-Vorpommern","1","Teils / Teils","Teils / Teils","Mäßige Verbesserung","Eher kompliziert","Stimme eher zu","0","Trifft teileweise zu","Mäßig wichtig","Trifft überwiegend zu","Trifft teilweise zu","Trifft teilweise zu","Geringe Kenntnisse","Trift teilweise zu.","Teils / Teils","Eher nicht beabsichtigt."
"112","1980-01-01 00:00:00","6","de","855719726","683eb1c8-0799-8ec0-8a6a-786c2a447e15","Männlich","56-65","3000 - unter 4000 Euro","Bachelor-Abschluss","18196","Mecklenburg-Vorpommern","1","Stimme ich eher zu","Stimme ich eher zu","Mäßige Verbesserung","Ein wenig kompliziert","Stimme eher zu","0","Trifft deutlich  zu","Eher wichtig","Trifft überwiegend zu","Trifft überwiegend zu","Trifft kaum zu","Gute Kenntnisse","Trifft mehrheitlich zu.","Stimme ich eher zu","Eher beabsichtigt"
"113","1980-01-01 00:00:00","6","de","798535541","683eb33a-5918-4b04-f62f-128e6d9e3304","Weiblich","18-35","1000 - unter 2000 Euro","Abgeschlossene Berufsausbildung","18107","Mecklenburg-Vorpommern","1","Stimme ich eher nicht zu","Teils / Teils","Mäßige Verbesserung","Ein wenig kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft überwiegend zu","Trifft teilweise zu","Sehr geringe Kenntnisse","Trift teilweise zu.","Teils / Teils","Möglicherweise beabsichtigt"
"114","1980-01-01 00:00:00","6","de","1877896391","683eb3b9-6aa7-4e25-0574-d957cda78719","Weiblich","36-45","3000 - unter 4000 Euro","Abgeschlossene Berufsausbildung","18273","Mecklenburg-Vorpommern","1","Stimme ich eher zu","Teils / Teils","Mäßige Verbesserung","Ein wenig kompliziert","Stimme eher zu","0","Trifft kaum zu","Kaum wichtig","Trifft eher nicht zu","Trifft überwiegend zu","Trifft teilweise zu","Geringe Kenntnisse","Trift teilweise zu.","Teils / Teils","Möglicherweise beabsichtigt"
"115","1980-01-01 00:00:00","6","de","1487409832","683eb45e-7d77-4cfb-34cc-32a7e651d4e4","Weiblich","36-45","2000 - unter 3000 Euro","Abitur","18246","Mecklenburg-Vorpommern","1","Teils / Teils","Teils / Teils","Mäßige Verbesserung","Eher kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft teilweise zu","Trifft eher nicht zu","Sehr geringe Kenntnisse","Trifft eher nicht zu.","Teils / Teils","Möglicherweise beabsichtigt"
"116","1980-01-01 00:00:00","6","de","944700442","683eb768-ffc0-d714-75c4-ccfaa7d842d6","Weiblich","18-35","4000 - unter 5000 Euro","Abgeschlossene Berufsausbildung","19063","Mecklenburg-Vorpommern","1","Stimme ich eher zu","Stimme ich eher zu","Geringe Verbesserung","Ein wenig kompliziert","Stimme eher zu","0","Trifft teileweise zu","Mäßig wichtig","Trifft teilweise zu","Trifft überwiegend zu","Trifft teilweise zu","Grundlegende Kenntnisse","Trift teilweise zu.","Teils / Teils","Möglicherweise beabsichtigt"
"118","1980-01-01 00:00:00","6","de","1857438128","683eb9ea-4423-152a-8dd0-48cca1956145","Weiblich","36-45","2000 - unter 3000 Euro","Abgeschlossene Berufsausbildung","19395","Mecklenburg-Vorpommern","1","Teils / Teils","Teils / Teils","Geringe Verbesserung","Ein wenig kompliziert","Stimme eher zu","0","Trifft teileweise zu","Mäßig wichtig","Trifft kaum zu","Trifft teilweise zu","Trifft überwiegend zu","Überhaupt keine Kenntnisse","Trifft eher nicht zu.","Stimme ich eher nicht zu","Eher nicht beabsichtigt."
"119","1980-01-01 00:00:00","6","de","1564970611","683eba1c-836c-9b97-4a87-f9037fd6e919","Männlich","46-55","4000 - unter 5000 Euro","Abgeschlossene Berufsausbildung","18147","Mecklenburg-Vorpommern","1","Stimme ich zu","Stimme ich zu","Deutliche Verbesserung","Überhaupt nicht kompliziert","Stimme eher zu","0","Trifft kaum zu","Kaum wichtig","Trifft teilweise zu","Trifft vollständig zu","Trifft teilweise zu","Sehr gute Kenntnisse","Trifft vollkommen zu.","Stimme ich vollumfänglich zu","Beabsichtigt"
"121","1980-01-01 00:00:00","6","de","935332579","683ebb2d-d568-7990-ad4b-41d36ea1a40f","Männlich","56-65","Unter 1000 Euro","Abgeschlossene Berufsausbildung","17098","Mecklenburg-Vorpommern","1","Teils / Teils","Stimme ich nicht zu","Geringe Verbesserung","Kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Wenig wichtig","Trifft kaum zu","Trifft teilweise zu","Trifft überwiegend zu","Sehr geringe Kenntnisse","Trifft nicht zu.","Stimme ich nicht zu","Möglicherweise beabsichtigt"
"122","1980-01-01 00:00:00","6","de","1752947717","683ebc9f-fb77-a8d3-06f5-fcb47c06bb8d","Männlich","18-35","3000 - unter 4000 Euro","Bachelor-Abschluss","18057","Mecklenburg-Vorpommern","1","Stimme ich eher zu","Stimme ich eher zu","Mäßige Verbesserung","Ein wenig kompliziert","Stimme eher zu","0","Trifft teileweise zu","Eher wichtig","Trifft teilweise zu","Trifft überwiegend zu","Trifft eher nicht zu","Geringe Kenntnisse","Trift teilweise zu.","Teils / Teils","Möglicherweise beabsichtigt"
