"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","","Geschlecht","Alter","Netto-Haushaltseinkommen insgesamt","Höchster Bildungsabschluss bzw. berufliche Qualifikation","Dein Bundesland","Deine Postleitzahl",""," [Die Nutzung dieser urbanen AR-Anwendung wäre für mich nützlich.]"," [Ich stelle mir die Nutzung dieser AR-Anwendung in der Stadt angenehm vor.]"," [Die Nutzung dieser AR-Anwendung wird meine Lebensqualität in der Stadt verbessern.]"," [Durch die Nutzung dieser AR-Anwendung würde ich Zeit bei der Suche nach Informationen in der Stadt sparen.]"," [Die Nutzung von Augmented-Reality-Anwendungen wird für mich kompliziert sein. ]"," [Um sicherzustellen, dass Du die Fragen aufmerksam liest, wähle bitte bei der folgenden Aussage ""Stimme eher zu"" aus.]",""," [Es ist mir wichtig, den Erwartungen meiner Freunde hinsichtlich der Nutzung dieser urbanen AR-Anwendung zu entsprechen.]"," [Es ist mir wichtig, den Erwartungen von weiteren Personen in meinem Umfeld bei der Nutzung neuer Technologien wie Augmented-Reality-Anwendungen  zu entsprechen.]"," [Mein Umfeld ist der Meinung, dass es vorteilhaft wäre, wenn ich moderne Technologien wie Augmented-Reality-Anwendungen nutze.]"," [Ich glaube, dass ich in meinem Alltag genügend Gelegenheiten haben werde, diese AR-Anwendung sinnvoll zu nutzen.]"," [Ich habe die notwendigen Ressourcen (z.B. ein kompatibles Smartphone), um diese urbane AR-Anwendung zu nutzen.]"," [Ein einfacher Zugang zu Informationen über diese urbane AR-Anwendung würde mir die Verwendung erleichtern.]"," [Ich habe die erforderlichen Kenntnisse, um Augmented-Reality Anwendungen in meiner Stadt zu nutzen.]"," [Ich habe die Kontrolle darüber, Augmented-Reality-Anwendungen zu nutzen.]"," [Ich bin sicher, dass ich Augmented-Reality-Anwendungen nutzen kann, wenn ich möchte.]"," [Es ist einfach für mich, Augmented-Reality-Anwendungen in der Stadt zu nutzen.]"," [Ich beabsichtige, diese AR-Anwendung für Stadtinformationen in naher Zukunft zu nutzen, wenn sie verfügbar ist.]"
"77","1980-01-01 00:00:00","6","de","1826218062","683daa37-b82a-a8aa-1f4b-966a70984cf9","Weiblich","56-65","1000 - unter 2000 Euro","Abgeschlossene Berufsausbildung","Bayern","81541","0","Teils / Teils","Trifft eher nicht zu","Sehr geringe Verbesserung","Geringe Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft teilweise zu","Überhaupt nicht wichtig","Trifft eher nicht zu","Trifft kaum zu","Trifft kaum zu","Wenig wahrscheinlich","Geringe Kenntnisse","Sehr geringe Kontrolle","Wenig sicher","Trifft teilweise zu","Nicht beabsichtigt"
"81","1980-01-01 00:00:00","6","de","715885369","683db2ab-67f5-a0b6-0551-d2be4571bd5f","Männlich","46-55","3000 - unter 4000 Euro","Master-Abschluss","Bayern","80469","0","Stimme ich eher zu","Trifft weitgehend zu","Deutliche Verbesserung","Deutliche Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft überwiegend zu","Trifft teilweise zu","Eher wahrscheinlich","Grundlegende Kenntnisse","Teilweise Kontrolle","Ziemlich sicher","Trifft überwiegend zu","Eher beabsichtigt"
"83","1980-01-01 00:00:00","6","de","920956063","683db681-5ad6-3e68-0c58-23e0cba0a64f","Männlich","46-55","2000 - unter 3000 Euro","Bachelor-Abschluss","Bayern","80809","0","Stimme ich überhaupt nicht zu","Trifft eher zu","Sehr geringe Verbesserung","Sehr geringe Zeitersparnis","Sehr kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft teilweise zu","Trifft überwiegend zu","Eher wahrscheinlich","Grundlegende Kenntnisse","Teilweise Kontrolle","Ziemlich sicher","Trifft teilweise zu","Möglicherweise beabsichtigt"
"84","1980-01-01 00:00:00","6","de","986542936","683dbb0b-469a-f278-2e5d-4ac8c146aba0","Weiblich","36-45","2000 - unter 3000 Euro","Abgeschlossene Berufsausbildung","Bayern","81735","0","Teils / Teils","Trifft eher nicht zu","Geringe Verbesserung","Geringe Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Wenig wichtig","Trifft kaum zu","Trifft kaum zu","Trifft überwiegend zu","Unwahrscheinlich","Geringe Kenntnisse","Geringe Kontrolle","Unsicher","Trifft eher nicht zu","Nicht beabsichtigt"
"86","1980-01-01 00:00:00","6","de","469168500","683dd0e4-fd3e-a15a-c146-6547af1ab953","Männlich","18-35","3000 - unter 4000 Euro","Bachelor-Abschluss","Bayern","80334","0","Stimme ich eher zu","Trifft weitgehend zu","Deutliche Verbesserung","Große Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft kaum zu","Wenig wichtig","Trifft eher nicht zu","Trifft eher nicht zu","Trifft teilweise zu","Unwahrscheinlich","Geringe Kenntnisse","Geringe Kontrolle","Unsicher","Trifft eher nicht zu","Eher nicht beabsichtigt"
"87","1980-01-01 00:00:00","6","de","2007489206","683dd85f-7d39-441c-84df-01f03eb56f63","Weiblich","36-45","1000 - unter 2000 Euro","Abgeschlossene Berufsausbildung","Bayern","81475","0","Teils / Teils","Trifft eher zu","Mäßige Verbesserung","Mäßige Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft teilweise zu","Eher wichtig","Trifft eher nicht zu","Trifft teilweise zu","Trifft teilweise zu","Wenig wahrscheinlich","Geringe Kenntnisse","Geringe Kontrolle","Wenig sicher","Trifft teilweise zu","Möglicherweise beabsichtigt"
"88","1980-01-01 00:00:00","6","de","1607709762","683e03c4-6280-fc91-c6c2-74fe5bb6835f","Männlich","66+","3000 - unter 4000 Euro","Abgeschlossene Berufsausbildung","Bayern","85662","0","Teils / Teils","Trifft eher nicht zu","Mäßige Verbesserung","Geringe Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft kaum zu","Trifft eher nicht zu","Trifft überhaupt nicht zu","Sehr wahrscheinlich","Geringe Kenntnisse","Sehr geringe Kontrolle","Ziemlich sicher","Trifft teilweise zu","Eher nicht beabsichtigt"
"90","1980-01-01 00:00:00","6","de","912779896","683e1b73-b1b3-a7d3-2553-f2624acaf918","Männlich","36-45","5000 Euro und mehr","Master-Abschluss","Bayern","81245","0","Stimme ich zu","Trifft zu","Deutliche Verbesserung","Große Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft überwiegend zu","Wichtig","Trifft überwiegend zu","Trifft weitgehend zu","Trifft weitgehend zu","Wahrscheinlich","Sehr gute Kenntnisse","Weitgehende Kontrolle","Sehr sicher","Trifft überwiegend zu","Beabsichtigt"
"91","1980-01-01 00:00:00","6","de","1946653176","683e78f5-e04b-a39c-15de-e615cfc65425","Männlich","56-65","3000 - unter 4000 Euro","Mittlere Reife","Bayern","81375","0","Stimme ich zu","Trifft zu","Große Verbesserung","Große Zeitersparnis","Etwas kompliziert","Stimme eher zu","0","Trifft zu","Wichtig","Trifft überwiegend zu","Trifft weitgehend zu","Trifft überwiegend zu","Wahrscheinlich","Gute Kenntnisse","Weitgehende Kontrolle","Ziemlich sicher","Trifft teilweise zu","Eher beabsichtigt"
"92","1980-01-01 00:00:00","6","de","1213098600","683e9b35-3574-3e2a-d8a7-c5165dac5eb2","Weiblich","66+","2000 - unter 3000 Euro","Abitur","Bayern","82041","0","Teils / Teils","Trifft eher zu","Geringe Verbesserung","Geringe Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Nicht wichtig","Trifft kaum zu","Trifft teilweise zu","Trifft weitgehend zu","Unwahrscheinlich","Geringe Kenntnisse","Teilweise Kontrolle","Unsicher","Trifft nicht zu","Überhaupt nicht beabsichtigt"
"93","1980-01-01 00:00:00","6","de","219746456","683ea6ca-4298-9de3-0310-2f38e6c2c653","Weiblich","36-45","3000 - unter 4000 Euro","Bachelor-Abschluss","Bayern","80331","0","Stimme ich vollumfänglich zu","Trifft zu","Große Verbesserung","Große Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft teilweise zu","Wenig wichtig","Trifft eher nicht zu","Trifft weitgehend zu","Trifft vollständig zu","Sehr wahrscheinlich","Sehr gute Kenntnisse","Teilweise Kontrolle","Sehr sicher","Trifft weitgehend zu","Beabsichtigt"
"94","1980-01-01 00:00:00","6","de","326368055","683eb7f5-a147-ff92-3950-ca3629665ce9","Weiblich","36-45","5000 Euro und mehr","Master-Abschluss","Bayern","81369","0","Teils / Teils","Trifft weitgehend zu","Mäßige Verbesserung","Deutliche Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überwiegend zu","Trifft überwiegend zu","Trifft weitgehend zu","Eher wahrscheinlich","Gute Kenntnisse","Weitgehende Kontrolle","Ziemlich sicher","Trifft überwiegend zu","Möglicherweise beabsichtigt"
"99","1980-01-01 00:00:00","6","de","832709477","683ebada-44b8-c4c1-7104-0937bd3a042c","Weiblich","36-45","Unter 1000 Euro","Abgeschlossene Berufsausbildung","Bayern","82152","0","Stimme ich eher zu","Trifft eher zu","Mäßige Verbesserung","Deutliche Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft teilweise zu","Wichtig","Trifft überwiegend zu","Trifft weitgehend zu","Trifft teilweise zu","Wahrscheinlich","Geringe Kenntnisse","Geringe Kontrolle","Ziemlich sicher","Trifft weitgehend zu","Beabsichtigt"
"100","1980-01-01 00:00:00","6","de","397615985","683ec0b5-5aed-c290-a32a-82bfcc423858","Weiblich","36-45","5000 Euro und mehr","Doktorgrad","Bayern","81245","0","Stimme ich zu","Trifft zu","Große Verbesserung","Deutliche Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft zu","Wichtig","Trifft überwiegend zu","Trifft überwiegend zu","Trifft überwiegend zu","Eher wahrscheinlich","Gute Kenntnisse","Teilweise Kontrolle","Ziemlich sicher","Trifft überwiegend zu","Eher beabsichtigt"
"103","1980-01-01 00:00:00","6","de","1732381141","683eca18-7bdf-1d02-f760-710579119a65","Männlich","36-45","3000 - unter 4000 Euro","Bachelor-Abschluss","Bayern","81735","0","Stimme ich eher nicht zu","Trifft eher zu","Geringe Verbesserung","Deutliche Zeitersparnis","Etwas kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Sehr wichtig","Trifft teilweise zu","Trifft eher nicht zu","Trifft teilweise zu","Unwahrscheinlich","Gute Kenntnisse","Sehr geringe Kontrolle","Ziemlich sicher","Trifft eher nicht zu","Eher beabsichtigt"
"105","1980-01-01 00:00:00","6","de","1547754348","683ed044-79d6-acbc-3072-a1ce58c28844","Keine Angabe","Keine Angabe","2000 - unter 3000 Euro","Abgeschlossene Berufsausbildung","Bayern","81737","0","Teils / Teils","Trifft eher zu","Geringe Verbesserung","Deutliche Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft teilweise zu","Wenig wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Wenig wahrscheinlich","Grundlegende Kenntnisse","Teilweise Kontrolle","Unsicher","Trifft teilweise zu","Möglicherweise beabsichtigt"
"106","1980-01-01 00:00:00","6","de","2137042870","683ed08d-2945-c3d9-a122-b3e3d3c7bf4a","Weiblich","36-45","4000 - unter 5000 Euro","Abitur","Bayern","81739","0","Stimme ich zu","Trifft zu","Deutliche Verbesserung","Deutliche Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft überwiegend zu","Eher wichtig","Trifft überwiegend zu","Trifft überwiegend zu","Trifft vollständig zu","Eher wahrscheinlich","Sehr gute Kenntnisse","Weitgehende Kontrolle","Ziemlich sicher","Trifft überwiegend zu","Beabsichtigt"
"107","1980-01-01 00:00:00","6","de","711923094","683ed37f-de71-ad05-85ac-ac582362a7b6","Weiblich","66+","1000 - unter 2000 Euro","Abgeschlossene Berufsausbildung","Bayern","81543","0","Stimme ich eher zu","Trifft weitgehend zu","Deutliche Verbesserung","Deutliche Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft teilweise zu","Wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft vollständig zu","Sehr wahrscheinlich","Geringe Kenntnisse","Weitgehende Kontrolle","Ziemlich sicher","Trifft teilweise zu","Beabsichtigt"
"108","1980-01-01 00:00:00","6","de","1204121102","683ed4c5-b272-117c-c43d-2efae2f2b991","Weiblich","36-45","4000 - unter 5000 Euro","Abgeschlossene Berufsausbildung","Bayern","81369","0","Stimme ich zu","Trifft weitgehend zu","Große Verbesserung","Sehr große Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft überwiegend zu","Wichtig","Trifft weitgehend zu","Trifft überwiegend zu","Trifft weitgehend zu","Wahrscheinlich","Gute Kenntnisse","Weitgehende Kontrolle","Ziemlich sicher","Trifft überwiegend zu","Definitiv beabsichtigt"
"109","1980-01-01 00:00:00","6","de","576029616","683f061a-ada2-05a9-8a20-d7b5094b1e44","Weiblich","66+","2000 - unter 3000 Euro","Bachelor-Abschluss","Bayern","80999","0","Teils / Teils","Trifft eher nicht zu","Sehr geringe Verbesserung","Geringe Zeitersparnis","Sehr kompliziert","Stimme eher zu","0","Trifft teilweise zu","Eher wichtig","Trifft kaum zu","Trifft eher nicht zu","Trifft überhaupt nicht zu","Eher wahrscheinlich","Geringe Kenntnisse","Überhaupt keine Kontrolle","Überhaupt nicht sicher","Trifft überhaupt nicht zu","Eher nicht beabsichtigt"
"111","1980-01-01 00:00:00","6","de","1883490429","683f078c-0b2d-1e51-35d9-0fef17618de2","Männlich","36-45","4000 - unter 5000 Euro","Bachelor-Abschluss","Bayern","81377","0","Stimme ich überhaupt nicht zu","Trifft eher nicht zu","Keine Verbesserung","Überhaupt keine Zeitersparnis","Etwas kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft kaum zu","Trifft teilweise zu","Eher wahrscheinlich","Geringe Kenntnisse","Sehr geringe Kontrolle","Unsicher","Trifft nicht zu","Überhaupt nicht beabsichtigt"
"112","1980-01-01 00:00:00","6","de","372148062","683f07af-7c2c-c53f-9970-6941411c2922","Männlich","18-35","2000 - unter 3000 Euro","Abitur","Bayern","81735","0","Stimme ich eher zu","Trifft eher nicht zu","Mäßige Verbesserung","Deutliche Zeitersparnis","Überhaupt nicht kompliziert","Stimme eher zu","0","Trifft teilweise zu","Nicht wichtig","Trifft eher nicht zu","Trifft teilweise zu","Trifft vollständig zu","Eher wahrscheinlich","Sehr gute Kenntnisse","Weitgehende Kontrolle","Sehr sicher","Trifft teilweise zu","Eher nicht beabsichtigt"
"114","1980-01-01 00:00:00","6","de","827794053","683f0843-e1fa-5f73-7a9d-77ed8f04302f","Weiblich","18-35","Unter 1000 Euro","Abitur","Bayern","81375","0","Stimme ich eher nicht zu","Trifft eher nicht zu","Sehr geringe Verbesserung","Sehr geringe Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Nicht wichtig","Trifft kaum zu","Trifft kaum zu","Trifft eher nicht zu","Sehr unwahrscheinlich","Sehr geringe Kenntnisse","Sehr geringe Kontrolle","Sehr  unsicher","Trifft nicht zu","Nicht beabsichtigt"
"116","1980-01-01 00:00:00","6","de","179435997","683f0845-2a0d-bc67-7a91-5a3b0bd0bd41","Männlich","18-35","3000 - unter 4000 Euro","Master-Abschluss","Bayern","80333","0","Stimme ich vollumfänglich zu","Trifft vollumfänglich zu","Sehr große Verbesserung","Sehr große Zeitersparnis","Überhaupt nicht kompliziert","Stimme eher zu","0","Trifft vollkommen zu","Extrem wichtig","Trifft vollständig zu","Trifft vollständig zu","Trifft vollständig zu","Sehr wahrscheinlich","Ausgezeichnete Kenntnisse","Starke Kontrolle","Vollkommen sicher","Trifft vollständig  zu","Definitiv beabsichtigt"
"119","1980-01-01 00:00:00","6","de","124460458","683f1a3a-a918-d096-04f1-fa82a20e853d","Weiblich","46-55","2000 - unter 3000 Euro","Bachelor-Abschluss","Bayern","80637","0","Stimme ich zu","Trifft vollumfänglich zu","Deutliche Verbesserung","Große Zeitersparnis","Überhaupt nicht kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft vollständig zu","Trifft vollständig zu","Wahrscheinlich","Sehr gute Kenntnisse","Weitgehende Kontrolle","Vollkommen sicher","Trifft weitgehend zu","Definitiv beabsichtigt"
"122","1980-01-01 00:00:00","6","de","1177608433","683f1fe1-5bfe-c8fd-19ec-bc44dd7502f6","Männlich","36-45","5000 Euro und mehr","Bachelor-Abschluss","Bayern","80809","0","Stimme ich zu","Trifft eher nicht zu","Mäßige Verbesserung","Deutliche Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft teilweise zu","Wichtig","Trifft teilweise zu","Trifft eher nicht zu","Trifft weitgehend zu","Wahrscheinlich","Grundlegende Kenntnisse","Weitgehende Kontrolle","Ziemlich sicher","Trifft teilweise zu","Eher beabsichtigt"
"123","1980-01-01 00:00:00","6","de","1153180283","683f2009-f6ba-3406-26e0-7e8c79c3cc30","Weiblich","18-35","2000 - unter 3000 Euro","Bachelor-Abschluss","Bayern","80637","0","Teils / Teils","Trifft eher zu","Geringe Verbesserung","Mäßige Zeitersparnis","Etwas kompliziert","Stimme eher zu","0","Trifft zu","Wichtig","Trifft teilweise zu","Trifft überwiegend zu","Trifft weitgehend zu","Wahrscheinlich","Gute Kenntnisse","Weitgehende Kontrolle","Sehr sicher","Trifft weitgehend zu","Definitiv beabsichtigt"
"125","1980-01-01 00:00:00","6","de","1832420156","683f2521-3a53-9088-e660-d9e02b198998","Männlich","18-35","5000 Euro und mehr","Bachelor-Abschluss","Bayern","80337","0","Stimme ich nicht zu","Überhaupt überhaupt nicht zu","Mäßige Verbesserung","Sehr geringe Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft kaum zu","Wichtig","Trifft eher nicht zu","Trifft kaum zu","Trifft überwiegend zu","Eher wahrscheinlich","Geringe Kenntnisse","Überhaupt keine Kontrolle","Unsicher","Trifft überwiegend zu","Eher nicht beabsichtigt"
"126","1980-01-01 00:00:00","6","de","294081464","683f3026-2c1c-3081-d2fb-6f0bd1b566e3","Weiblich","46-55","1000 - unter 2000 Euro","Mittlere Reife","Bayern","81476","0","Stimme ich eher nicht zu","Trifft eher zu","Mäßige Verbesserung","Geringe Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft teilweise zu","Nicht wichtig","Trifft eher nicht zu","Trifft teilweise zu","Trifft kaum zu","Wenig wahrscheinlich","Geringe Kenntnisse","Teilweise Kontrolle","Unsicher","Trifft nicht zu","Möglicherweise beabsichtigt"
"127","1980-01-01 00:00:00","6","de","1402289272","683f3236-a2fc-2034-1569-fd649286d71d","Weiblich","46-55","3000 - unter 4000 Euro","Abitur","Bayern","80689","0","Stimme ich eher zu","Trifft eher zu","Deutliche Verbesserung","Mäßige Zeitersparnis","Etwas kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft überhaupt nicht zu","Trifft teilweise zu","Wenig wahrscheinlich","Grundlegende Kenntnisse","Geringe Kontrolle","Sehr  unsicher","Trifft teilweise zu","Überhaupt nicht beabsichtigt"
