ID,Lösung,Stadt,Ziel,Wirkung,Interaktion,Skalierung,Reifegrad
58,3D-Stadtmodell,Kempten,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Intern,Community,Commodity
59,Simulation u. Erprobung Autonome Kehrmaschine (KM),Kempten,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Passiv,Personalisiert,Commodity
60,Flächendeckendes LoRaWan-Netz u. erste Anwendungen,Kempten,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Stadtweit,Produkt
61,INTERREG eHUB: Verleihsystem für E-Fahrzeuge,Kempten,Ökologische Nachhaltigkeit fördern,Dienstleistung,Interaktiv,Personalisiert,Produkt
62,Bürgerbeteiligungsplattform (FNP),Kempten,Bürgerbeteiligung stärken,Dienstleistung,Aktiv,Stadtweit,Produkt
63,Prototyp digitaler Verkehrszwilling (VZ),Konstanz,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Intern,Community,Individuell angepasst
64,Konzept Quartiers-App Konstanz,Konstanz,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Passiv,Personalisiert,Produkt
65,LexiKON Smart Wachsen Konstanz,Konstanz,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Passiv,Community,Commodity
66,Portal Konstanz mitgestalten,Konstanz,Bürgerbeteiligung stärken,Dienstleistung,Aktiv,Stadtweit,Produkt
67,Smart City App - Die Mein Konstanz App,Konstanz,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Passiv,Community,Produkt
68,5G - Dezentrale Gesundheitsversorgung,Kusel,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Stadtweit,Individuell angepasst
69,Breitbandausbau - Weiße Flecken,Kusel,Ökonomische Wettbewerbsfähigkeit fördern,Infrastruktur,Passiv,Stadtweit,Commodity
70,#mobilwandel2035-Wettbewerb nachhaltige Mobilität,Kusel,Ökologische Nachhaltigkeit fördern,Governance,Passiv,Stadtweit,Commodity
71,TRAFO - Einsatz digitaler Medien,Kusel,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Interaktiv,Community,Commodity
72,Ohmbachsee - Glantal by VG Schönenberg-Kübelberg,Kusel,Bürgerbeteiligung stärken,Dienstleistung,Passiv,Stadtweit,Produkt
73,Linz2Go: regionaler Online-Marktplatz (non-Profit),Linz am Rhein,Ökonomische Wettbewerbsfähigkeit fördern,Dienstleistung,Interaktiv,Community,Produkt
74,Neuer Webauftritt mit digitalem Informationssystem,Linz am Rhein,Wissensmanagement und Wissensaustausch fördern,Infrastruktur,Passiv,Community,Commodity
75,Digitale Ratsarbeit mithilfe von Tablets,Linz am Rhein,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Passiv,Community,Commodity
76,Öffentliches W-LAN und W-LAN-Ausleuchtung,Linz am Rhein,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Community,Commodity
77,Elektromobilitätsladestationen für E-Bike/E-Auto,Linz am Rhein,Dienstleistungen effizienter erbringen,Infrastruktur,Passiv,Community,Produkt
78,Digitaler Marktplatz Mühlhausen,Mühlhausen,Ökonomische Wettbewerbsfähigkeit fördern,Dienstleistung,Interaktiv,Community,Produkt
79,Digitale Dienstleistungen für Bürger und Touristen,Mühlhausen,Dienstleistungen effizienter erbringen,Dienstleistung,Passiv,Stadtweit,Produkt
80,LoRaWAN-Übertragungstechnik,Mühlhausen,Ökonomische Wettbewerbsfähigkeit fördern,IKT&Technologie,Passiv,Stadtweit,Produkt
81,Neues touristisches Leitsystem,Mühlhausen,Dienstleistungen effizienter erbringen,Dienstleistung,Passiv,Community,Produkt
82,Partner der ThüCAT-Datenbank,Mühlhausen,Dienstleistungen effizienter erbringen,Dienstleistung,Passiv,Community,Commodity
83,Adaptive Beleuchtung entlang der Kanalpromenade,Münster,Dienstleistungen effizienter erbringen,Infrastruktur,Passiv,Personalisiert,Produkt
84,LOOPmünster - Nahverkehr auf Bestellung,Münster,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Passiv,Personalisiert,Produkt
85,Leezenflow - Grüne Welle Assistent für Radfahrer,Münster,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Personalisiert,Produkt
86,#Stadtsache - Zukunft im Quartier gestalten,Münster,Bürgerbeteiligung stärken,Stakeholder,Interaktiv,Community,Produkt
87,Thermografiebefliegung - Klimaschutz aus der Luft,Münster,Ökologische Nachhaltigkeit fördern,IKT&Technologie,Intern,Stadtweit,Individuell angepasst
88,Agil-partizipative Entwicklung von Open Government,Oberhausen,Wissensmanagement und Wissensaustausch fördern,Stakeholder,Intern,Community,Commodity
89,Lab4U Schülerlabor,Oberhausen,Bürgerbeteiligung stärken,Infrastruktur,Interaktiv,Community,Commodity
90,Intelligentes Verkehrsleitsystem,Oberhausen,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Stadtweit,Produkt
91,Erweiterung intermodales Mobilitätsangebot,Oberhausen,Dienstleistungen effizienter erbringen,Dienstleistung,Passiv,Personalisiert,Produkt
92,Altmarktgarten: Leuchtturm der Stadtentwicklung,Oberhausen,Ökonomische Wettbewerbsfähigkeit fördern,Infrastruktur,Passiv,Stadtweit,Commodity
93,Parkunterstützung für Menschen mit Behinderung,Pforzheim,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Personalisiert,Produkt
94,Plattform Handeln für Pforzheim,Pforzheim,Ökonomische Wettbewerbsfähigkeit fördern,Dienstleistung,Interaktiv,Community,Produkt
95,On-Demand Bus-Shuttles mit intelligentem Routing,Pforzheim,Dienstleistungen effizienter erbringen,Dienstleistung,Passiv,Personalisiert,Individuell angepasst
96,Smartes Energiemanagement städtischer Gebäude,Pforzheim,Ökologische Nachhaltigkeit fördern,Dienstleistung,Intern,Personalisiert,Produkt
97,Smart Benches mit Multimedia und Ladeinfrastruktur,Pforzheim,Dienstleistungen effizienter erbringen,Infrastruktur,Passiv,Personalisiert,Produkt
98,OpenData-Portal (ODP) & OpenGovernmentData-Konzept,Potsdam,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Passiv,Stadtweit,Produkt
99,Pilotprojekt-LoRaWAN,Potsdam,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Community,Individuell angepasst
100,Bürgerhaushalt Potsdam mit Bürgerbudgets,Potsdam,Bürgerbeteiligung stärken,Dienstleistung,Aktiv,Stadtweit,Commodity
101,LocalLab Potsdam,Potsdam,Bürgerbeteiligung stärken,Stakeholder,Interaktiv,Stadtweit,Commodity
102,MaaS Labs,Potsdam,Ökologische Nachhaltigkeit fördern,Dienstleistung,Interaktiv,Stadtweit,Produkt
103,Autonomes Shuttle / Innovationsplattform E-Bus,Regensburg,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Stadtweit,Produkt
104,Barrierefrei durch Regensburg - digitale Umsetzung,Regensburg,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Passiv,Community,Produkt
105,Forschungsprojekt Solares Bauen,Regensburg,Ökologische Nachhaltigkeit fördern,Infrastruktur,Intern,Personalisiert,Individuell angepasst
106,Konzept Giga-Bit Ausbau/Schmalband/BayernWLAN,Regensburg,Ökonomische Wettbewerbsfähigkeit fördern,IKT&Technologie,Passiv,Stadtweit,Commodity
107,Integriertes Digitales Entwicklungskonzept (IDEK),Regensburg,Bürgerbeteiligung stärken,Stakeholder,Passiv,Stadtweit,Produkt
108,Datenportal Rhein-Neckar,Rhein-Neckar,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Passiv,Stadtweit,Produkt
109,Intelligente Marktplätze und Marktfee-App,Rhein-Neckar,Ökonomische Wettbewerbsfähigkeit fördern,Dienstleistung,Interaktiv,Community,Produkt
110,Lernfabrik 4.0,Rhein-Neckar,Wissensmanagement und Wissensaustausch fördern,Stakeholder,Interaktiv,Community,Commodity
111,ILE.DIGITAL - der digitale Dorfplatz,Ringelai,Ökonomische Wettbewerbsfähigkeit fördern,Dienstleistung,Interaktiv,Stadtweit,Produkt
112,Heimat im Blick: 3D-Touren,Ringelai,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Passiv,Personalisiert,Produkt
113,Auf zu neuen Horizonten:FraunhoferZukunftsworkshop,Ringelai,Wissensmanagement und Wissensaustausch fördern,Stakeholder,Intern,Personalisiert,Commodity
114,ILE.VEREIN - digitale Vereinsverwaltung,Ringelai,Bürgerbeteiligung stärken,Dienstleistung,Passiv,Community,Commodity
115,ILE.SYSTEM - Intranet,Ringelai,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Intern,Community,Commodity
116,Kommunales Elektromobilitätskonzept FL,Schleswig-Flensburg,Dienstleistungen effizienter erbringen,Infrastruktur,Intern,Stadtweit,Commodity
117,MORO - Sicherung von Versorgung und Mobilität,Schleswig-Flensburg,Dienstleistungen effizienter erbringen,Governance,Intern,Stadtweit,Commodity
118,GreenTEC Campus,Schleswig-Flensburg,Ökonomische Wettbewerbsfähigkeit fördern,Infrastruktur,Interaktiv,Community,Commodity
119,Smarter Marktplatz Bredstedt,Schleswig-Flensburg,Ökonomische Wettbewerbsfähigkeit fördern,Governance,Interaktiv,Stadtweit,Produkt
120,Modellprojekt Smart City Amt Süderbrarup,Schleswig-Flensburg,Ökonomische Wettbewerbsfähigkeit fördern,Governance,Intern,Stadtweit,Commodity
121,Smarte.Land.Regionen (Förderung durch BMEL),Vorpommern-Greifswald,Dienstleistungen effizienter erbringen,Dienstleistung,Passiv,Community,Commodity
122,Smart Doerp e. V.,Vorpommern-Greifswald,Wissensmanagement und Wissensaustausch fördern,Governance,Passiv,Personalisiert,Commodity
123,Digitales Klassenzimmer bei der IKT-Ost AöR,Vorpommern-Greifswald,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Passiv,Community,Commodity
124,MSEdigital,Vorpommern-Greifswald,Wissensmanagement und Wissensaustausch fördern,Governance,Passiv,Personalisiert,Commodity
125,Digitale Innovationszentren des Landes (DIZ),Vorpommern-Greifswald,Ökonomische Wettbewerbsfähigkeit fördern,Stakeholder,Interaktiv,Community,Commodity
126,Breitbandausbau Erschließung Weiße Flecken,Wuppertal,Ökonomische Wettbewerbsfähigkeit fördern,Infrastruktur,Passiv,Stadtweit,Commodity
127,Aufbau LoRaWAN - Infrastruktur,Wuppertal,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Community,Individuell angepasst
128,5Green Zoo Wuppertal,Wuppertal,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Community,Individuell angepasst
129,Wuppertal-Netz W-LAN für Bürger*innen,Wuppertal,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Community,Commodity
130,OpenData,Wuppertal,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Passiv,Stadtweit,Commodity
131,Bürgerbot Messenger Angebot,Würzburg,Dienstleistungen effizienter erbringen,Dienstleistung,Interaktiv,Community,Produkt
132,Barrierearme anonyme Videotelefonie,Würzburg,Bürgerbeteiligung stärken,Dienstleistung,Interaktiv,Personalisiert,Produkt
133,LoRaWAN-Netz,Würzburg,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Passiv,Personalisiert,Produkt
134,Bürgerbeteiligung über CONSUL,Würzburg,Bürgerbeteiligung stärken,Dienstleistung,Aktiv,Stadtweit,Produkt
